Led Zeppelin,1969,13561945
The Beatles,1962,41346687
The Rolling Stones,1964,19806275
Nirvana,1989,27428168
U2,1980,17357060
Aerosmith,1973,16406327
Queen,1973,28573233
Pink Floyd,1967,28949328
The Doors,1967,16710397
Radiohead,1993,11756810
AC/DC,1975,29926194
Metallica,1983,37108377
Guns n Roses,1987,30345023
Kiss,1974,12629963
Bon Jovi,1984,25625818
Iron Maiden,1980,13730693
Green Day,1990,31158976
Red Hot Chili Peppers,1984,27900157
Pearl Jam,1991,10565742
Blink-182,1995,10294211
Foo Fighters,1995,11943966
